source_authors_abbreviated,source_year,source_authors,source_title,source_reference,source_url,cited_authors,cited_title,cited_reference
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 172",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"D. Barnes, M. Keenan",A transfer of functions through derived arbitrary and nonarbitrary stimulus relations,"J. Exp. Anal. Behav., 59 (1) (1993), pp. 61-81"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 173",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"D. Barnes-Holmes, S.C. Hayes, S. Dymond, D. O’Hora",Multiple stimulus relations and the transformation of stimulus functions,"Relational Frame Theory, Springer, Boston, MA (2002), pp. 51-71"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 174",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"D. Barnes-Holmes, Y. Barnes-Holmes, I. Stewart, S. Boles",A sketch of the implicit relational assessment procedure (IRAP) and the relational elaboration and coherence (REC) model,"Psychol. Rec., 60 (3) (2010), pp. 527-542, 10.1007/BF03395726"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 175",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"D. Barnes-Holmes, Y. Barnes-Holmes, C. Luciano, C. McEnteggart",From the IRAP and REC model to a multi-dimensional multi-level framework for analyzing the dynamics of arbitrarily applicable relational responding,"J. Contextual Behav. Sci., 6 (4) (2017), pp. 434-445"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 176",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"D. Barnes‐Holmes, C. Staunton, R. Whelan, Y. Barnes‐Holmes, S. Commins, D. Walsh, et al.","Derived stimulus relations, semantic priming, and event‐related potentials: testing a behavioral theory of semantic networks","J. Exp. Anal. Behav., 84 (3) (2005), pp. 417-433"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 177",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"I. Bernaerts, F. De Groot, M. Kleen","De AAQ-II (Acceptance and Action Questionnaire-II), een maat voor experiëntiële vermijding: normering bij jongeren","Gedragstherapie, 45 (2012), pp. 389-400"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 178",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"R. Bortoloti, J.C. de Rose",Equivalent stimuli are more strongly related after training with delayed matching than after simultaneous matching: a study using the Implicit Relational Assessment Procedure (IRAP),"Psychol. Rec., 62 (1) (2012), pp. 41-54"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 179",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"E. deBeurs, R. vanDyck, L. Marquenie, A. Lange, R.W.B. Blonk","De DASS; een vragenlijst voor het meten van depressie, angst en stress","Gedragstherapie, 34 (1) (2001), pp. 35-53"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 180",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"M.J. Dougher, M.R. Markham","Stimulus equivalence, functional equivalence and the transfer of function","S.C. Hayes, L.J. Hayes, M. Sato, K. Ono (Eds.), Behavior Analysis of Language and Cognition, Context Press, Reno, NV (1994), pp. 71-91"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 181",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"M.J. Dougher, E. Augustson, M.R. Markham, D.E. Greenway, E. Wulfert",The transfer of respondent eliciting and extinction functions through stimulus equivalence classes,"J. Exp. Anal. Behav., 62 (3) (1994), pp. 331-351, 10.1901/jeab.1994.62-331"
